Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (LESS THAN 1,200 $)",10260,38.1
CENSUS,2017,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),11000,25.2
CENSUS,2012,YEAR,,COUNTY,WISCONSIN,55,NORTHEAST,30,MENOMINEE,78,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,11000,5.3
CENSUS,2012,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),11000,87.8
CENSUS,2012,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),11000,38.1
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,"NORTHERN MARIANA ISLANDS, ROTA",0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,11680,80.2
CENSUS,2017,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),12000,61.7
CENSUS,2012,YEAR,,COUNTY,GEORGIA,13,WEST CENTRAL,40,CHATTAHOOCHEE,53,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,12000,5.1
CENSUS,2012,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,BOONE,5,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,12000,7.1
CENSUS,2012,YEAR,,STATE,NEVADA,32,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),12000,42
CENSUS,1997,YEAR,,COUNTY,MICHIGAN,26,UPPER PENINSULA,10,KEWEENAW,83,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,12000,
CENSUS,1997,YEAR,,COUNTY,MINNESOTA,27,NORTHEAST,30,COOK,31,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,12000,
CENSUS,2017,YEAR,,AMERICAN INDIAN RESERVATION,,,,,,,,MILLE LACS,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,13000,(H)
CENSUS,2017,YEAR,,STATE,INDIANA,18,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),13000,57
CENSUS,2017,YEAR,,STATE,OHIO,39,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),13000,30.1
CENSUS,2012,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,MCDOWELL,47,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,13000,7.1
CENSUS,2007,YEAR,,COUNTY,FLORIDA,12,NORTHWEST,10,FRANKLIN,37,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,13000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (5.0 TO 7.0 ACRES),13100,98
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,NORTHERN MARIANA ISLANDS,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (1,200 TO 2,499 $)",13480,78.5
CENSUS,2017,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),14000,1
CENSUS,2012,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),14000,17.4
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,MARTIN,159,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,14000,
CENSUS,2017,YEAR,,COUNTY,MISSOURI,29,SOUTHEAST,90,PEMISCOT,155,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,15000,20.5
CENSUS,2012,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,HAMILTON,41,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,15000,7.7
CENSUS,2012,YEAR,,STATE,WYOMING,56,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),15000,48.1
CENSUS,2002,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,LESLIE,131,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,15000,
CENSUS,2002,YEAR,,COUNTY,MINNESOTA,27,NORTHEAST,30,COOK,31,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,15000,
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,KNOTT,119,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,15000,
CENSUS,1997,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WYOMING,109,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,15000,
CENSUS,2012,YEAR,,STATE,ALASKA,2,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),16000,(L)
CENSUS,2002,YEAR,,COUNTY,MICHIGAN,26,UPPER PENINSULA,10,KEWEENAW,83,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,16000,
CENSUS,2002,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WYOMING,109,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,16000,
CENSUS,1997,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,BOONE,5,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,16000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,AMERICAN SAMOA,60,,,,,,AMERICAN SAMOA,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,FARM SALES: (100 TO 499 $),16250,57.5
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (5,000 TO 7,499 $)",16700,73.5
CENSUS,2012,YEAR,,COUNTY,MICHIGAN,26,UPPER PENINSULA,10,KEWEENAW,83,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,17000,4.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,NORTHERN COASTAL,70,DARE,55,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,18000,9.5
CENSUS,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11192),18000,33.4
CENSUS,2017,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),18000,49
CENSUS,2002,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,LOGAN,45,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,18000,
CENSUS,2002,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),18000,
CENSUS,1997,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,18000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (1.0 TO 2.0 ACRES),18260,84.2
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,AMERICAN SAMOA,60,,,,,,"AMERICAN SAMOA, WESTERN, TUALATAI",0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,18280,75.1
CENSUS,2017,YEAR,,AMERICAN INDIAN RESERVATION,,,,,,,,FOND DU LAC,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,19000,58.5
CENSUS,2017,YEAR,,STATE,WYOMING,56,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),19000,(H)
CENSUS,2012,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),19000,53.8
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,"NORTHERN MARIANA ISLANDS, TINIAN",0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,19600,61.4
CENSUS,2017,YEAR,,AMERICAN INDIAN RESERVATION,,,,,,,,RED LAKE BAND,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,20000,92.8
CENSUS,2017,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,LESLIE,131,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,20000,11.7
CENSUS,2012,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,LESLIE,131,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,20000,14.3
CENSUS,2012,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),20000,79.1
CENSUS,2007,YEAR,,COUNTY,NEW MEXICO,35,NORTHWEST,10,LOS ALAMOS,28,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,20000,
CENSUS,2007,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),20000,
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,OWSLEY,189,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,20000,
CENSUS,1997,YEAR,,COUNTY,LOUISIANA,22,SOUTHEAST,90,ST. JOHN THE BAPTIST,95,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,20000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,AMERICAN SAMOA,60,,,,,,AMERICAN SAMOA,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (500 TO 1,199 $)",20157,(H)
CENSUS,2002,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,LANCASTER,103,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,21000,
CENSUS,1997,YEAR,,COUNTY,TENNESSEE,47,DELTA,10,LAKE,95,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,21000,
CENSUS,1997,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,MIDDLESEX,119,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,21000,
CENSUS,2017,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),22000,(H)
CENSUS,2012,YEAR,,COUNTY,NEW MEXICO,35,NORTHWEST,10,LOS ALAMOS,28,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,22000,0.8
CENSUS,2007,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WYOMING,109,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,22000,
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,BREATHITT,25,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,22000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,NORTHERN MARIANA ISLANDS,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (4.0 TO 8.0 ACRES),22055,53.3
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,NORTHERN MARIANA ISLANDS,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (2,500 TO 4,999 $)",22743,33.4
CENSUS,2017,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),23000,10.6
CENSUS,2012,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WYOMING,109,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,23000,7.1
CENSUS,2007,YEAR,,COUNTY,FLORIDA,12,SOUTHERN,80,MONROE,87,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,23000,
CENSUS,2007,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,BOONE,5,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,23000,
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,HARLAN,95,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,23000,
CENSUS,1997,YEAR,,COUNTY,NEW MEXICO,35,NORTHWEST,10,LOS ALAMOS,28,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,23000,
CENSUS,2012,YEAR,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN FRANCISCO,75,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,24000,2.7
CENSUS,2002,YEAR,,COUNTY,COLORADO,8,EAST CENTRAL,60,DENVER,31,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,24000,
CENSUS,2017,YEAR,,STATE,NEVADA,32,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),25000,18.7
CENSUS,2017,YEAR,,STATE,NEVADA,32,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),25000,59.5
CENSUS,2017,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),25000,29.2
CENSUS,2007,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,LOGAN,45,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,25000,
CENSUS,2002,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,MARTIN,159,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,25000,
CENSUS,1997,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,ROSCOMMON,143,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,25000,
CENSUS,1997,YEAR,,COUNTY,MINNESOTA,27,NORTHEAST,30,LAKE,75,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,25000,
CENSUS,1997,YEAR,,STATE,IOWA,19,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),25000,
CENSUS,2017,YEAR,,COUNTY,COLORADO,8,SOUTHWEST,70,HINSDALE,53,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,26000,3.5
CENSUS,2017,YEAR,,COUNTY,TENNESSEE,47,DELTA,10,LAKE,95,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,26000,28.4
CENSUS,2012,YEAR,,COUNTY,MISSISSIPPI,28,LOWER DELTA,40,ISSAQUENA,55,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,26000,18.5
CENSUS,2012,YEAR,,STATE,ALASKA,2,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES),26000,(L)
CENSUS,2012,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),26000,53
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,LETCHER,133,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,26000,
CENSUS,1997,YEAR,,COUNTY,WEST VIRGINIA,54,NORTHWEST,20,HANCOCK,29,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,26000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,AMERICAN SAMOA,60,,,,,,"AMERICAN SAMOA, EASTERN, VAIFANUA",0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,26760,45.9
